id,external_id,annotations,compound_id,creator_id,updater_id,created_at,updated_at
153,LMGL03012615,"Triacylglycerols
",751,,,2015-02-23 22:49:16 UTC,2015-02-23 22:49:16 UTC
154,CHEBI:16602,"chloroethenes
",752,,,2015-02-23 22:49:18 UTC,2015-02-23 22:49:18 UTC
155,TRICHLOROETHENE,"a small molecule
",752,,,2015-02-23 22:49:18 UTC,2015-02-23 22:49:18 UTC
156,CHEBI:16236,"primary alcohol
alkyl alcohol
ethanols
",753,,,2015-02-23 22:49:23 UTC,2015-02-23 22:49:23 UTC
157,ETOH,"a primary alcohol
a short-chain alcohol
",753,,,2015-02-23 22:49:23 UTC,2015-02-23 22:49:23 UTC
158,CHEBI:53016,"sulfonamide
isoxazoles
",755,,,2015-02-23 22:49:28 UTC,2015-02-23 22:49:28 UTC
159,CHEBI:17754,"triol
alditol
",756,,,2015-02-23 22:49:31 UTC,2015-02-23 22:49:31 UTC
160,C00116,"Glycerols
",756,,,2015-02-23 22:49:31 UTC,2015-02-23 22:49:31 UTC
161,GLYCEROL,"a sugar alcohol
",756,,,2015-02-23 22:49:31 UTC,2015-02-23 22:49:31 UTC
162,CHEBI:35255,"one-carbon compound
chloromethanes
",760,,,2015-02-23 22:49:39 UTC,2015-02-23 22:49:39 UTC
163,CPD-843,"a small molecule
",760,,,2015-02-23 22:49:39 UTC,2015-02-23 22:49:39 UTC
164,CHEBI:29005,"cycloalkane
",761,,,2015-02-23 22:49:41 UTC,2015-02-23 22:49:41 UTC
165,CPD-8923,"a carbohydrate
",761,,,2015-02-23 22:49:41 UTC,2015-02-23 22:49:41 UTC
166,CHEBI:6824,"polycyclic cage
",762,,,2015-02-23 22:49:43 UTC,2015-02-23 22:49:43 UTC
167,CHEBI:64276,"dialdehyde
",763,,,2015-02-23 22:49:45 UTC,2015-02-23 22:49:45 UTC
168,CPD-9052,"a small molecule
",763,,,2015-02-23 22:49:45 UTC,2015-02-23 22:49:45 UTC
169,CHEBI:28262,"sulfoxide
",764,,,2015-02-23 22:49:47 UTC,2015-02-23 22:49:47 UTC
170,DMSO,"a small molecule
",764,,,2015-02-23 22:49:47 UTC,2015-02-23 22:49:47 UTC
171,CHEBI:16000,"primary alcohol
primary amine
ethanolamines
",769,,,2015-02-23 22:49:56 UTC,2015-02-23 22:49:56 UTC
172,C00189,"Biogenic amines
",769,,,2015-02-23 22:49:56 UTC,2015-02-23 22:49:56 UTC
173,ETHANOL-AMINE,"a small molecule
",769,,,2015-02-23 22:49:56 UTC,2015-02-23 22:49:56 UTC
174,CPD-4746,"a sesquiterpenoid
",770,,,2015-02-23 22:49:59 UTC,2015-02-23 22:49:59 UTC
175,CHEBI:9592,"2-methylbut-2-enoic acid
",774,,,2015-02-23 22:50:03 UTC,2015-02-23 22:50:03 UTC
176,LMFA01020030,"Branched fatty acids
",774,,,2015-02-23 22:50:03 UTC,2015-02-23 22:50:03 UTC
177,CHEBI:36431,"2-methylbut-2-enoic acid
",775,,,2015-02-23 22:50:06 UTC,2015-02-23 22:50:06 UTC
178,LMFA01020029,"Branched fatty acids
",775,,,2015-02-23 22:50:06 UTC,2015-02-23 22:50:06 UTC
179,CHEBI:18091,"dithiolanes
sulfur-containing carboxylic acid
dithiolanecarboxylic acid
",778,,,2015-02-23 22:50:11 UTC,2015-02-23 22:50:11 UTC
180,CHEBI:17196,"L-alpha-amino acid
aspartate family amino acid
asparagine
",787,,,2015-02-23 22:50:28 UTC,2015-02-23 22:50:28 UTC
181,C00152,"Common amino acids
",787,,,2015-02-23 22:50:28 UTC,2015-02-23 22:50:28 UTC
182,CPD-13290,"a disaccharide
a 1->3-&beta;-D-xylan oligosaccharide
",789,,,2015-02-23 22:50:32 UTC,2015-02-23 22:50:32 UTC
183,CHEBI:507499,"pentahydroxyflavone
",790,,,2015-02-23 22:50:34 UTC,2015-02-23 22:50:34 UTC
184,C10192,"Flavones and Flavonols
flavones
",790,,,2015-02-23 22:50:34 UTC,2015-02-23 22:50:34 UTC
185,LMPK12110847,"Flavones and Flavonols
",790,,,2015-02-23 22:50:34 UTC,2015-02-23 22:50:34 UTC
186,APIGENIN,"a chalcone
",801,,,2015-02-23 22:50:47 UTC,2015-02-23 22:50:47 UTC
187,CHEBI:36635,"methylbenzoic acid
",805,,,2015-02-23 22:50:56 UTC,2015-02-23 22:50:56 UTC
188,CHEBI:27434,"tolualdehyde
",806,,,2015-02-23 22:50:58 UTC,2015-02-23 22:50:58 UTC
189,CHEBI:28617,"tolualdehyde
",808,,,2015-02-23 22:51:00 UTC,2015-02-23 22:51:00 UTC
190,CPD-8773,"an aryl aldehyde
",808,,,2015-02-23 22:51:00 UTC,2015-02-23 22:51:00 UTC
191,CHEBI:47696,"bromophenol
",813,,,2015-02-23 22:51:06 UTC,2015-02-23 22:51:06 UTC
192,CHEBI:19333,"organochlorine compound
monomethoxybenzene
",814,,,2015-02-23 22:51:07 UTC,2015-02-23 22:51:07 UTC
193,TRICHLOROANISOLE,"a small molecule
",814,,,2015-02-23 22:51:07 UTC,2015-02-23 22:51:07 UTC
194,CHEBI:64344,"methyl ketone
aromatic ketone
benzenetriol
",815,,,2015-02-23 22:51:08 UTC,2015-02-23 22:51:08 UTC
195,CHEBI:35164,"dihydroxyacetophenone
",831,,,2015-02-23 22:51:22 UTC,2015-02-23 22:51:22 UTC
196,CPD-242,"a small molecule
",831,,,2015-02-23 22:51:22 UTC,2015-02-23 22:51:22 UTC
197,CHEBI:18414,"dihydroxyacetophenone
",833,,,2015-02-23 22:51:24 UTC,2015-02-23 22:51:24 UTC
198,CHEBI:18346,"phenols
benzaldehydes
",838,,,2015-02-23 22:51:29 UTC,2015-02-23 22:51:29 UTC
199,VANILLIN,"a small molecule
",838,,,2015-02-23 22:51:29 UTC,2015-02-23 22:51:29 UTC
200,CHEBI:48408,"aromatic ether
phenols
benzaldehydes
",841,,,2015-02-23 22:51:34 UTC,2015-02-23 22:51:34 UTC
201,CHEBI:17189,"dihydroxybenzoic acid
",844,,,2015-02-23 22:51:39 UTC,2015-02-23 22:51:39 UTC
